title,category,description,Цена из файла,height_cm,diameter_cm,branches,discount_pct,price,offer,id,photos,active,,Насколько изменилась цена?,,,,,,,
Наименование,Категория,Описание ёлки,Оригинальная цена,Высота,Диаметр,Кол-во веток,% скидки,Цена на сайте,Цена без скидки,,Ссылка на фото,,,0%,,,,,,,
Миранда,Заснеженная,Хлопковое напыление на ветвях создает впечатление выпавшего рыхлого снега. Разная длина и уровень расположения веточек приближает Миранду к настоящей лесной красавице,35 000 ₽,185 см,110 см,955 шт,-30%,35 000 ₽,50000,1,https://lady-elka.ru/d/img_1955.jpg | https://lady-elka.ru/d/img_1956.jpg | https://lady-elka.ru/d/img_1935.jpg | https://lady-elka.ru/d/photo_2025-09-05_21-13-00.jpg | https://lady-elka.ru/d/photo_2026-09-10_11-29-06.jpg | ,TRUE,,,,,,,,,
Миранда,Заснеженная,Хлопковое напыление на ветвях создает впечатление выпавшего рыхлого снега. Разная длина и уровень расположения веточек приближает Миранду к настоящей лесной красавице,49 000 ₽,215 см,126 см,1315 шт,-30%,49 000 ₽,70000,1,https://lady-elka.ru/d/img_1955.jpg | https://lady-elka.ru/d/img_1956.jpg | https://lady-elka.ru/d/img_1935.jpg | https://lady-elka.ru/d/photo_2025-09-05_21-13-00.jpg | https://lady-elka.ru/d/photo_2026-09-10_11-29-06.jpg | ,TRUE,,,,,,,,,
Миранда,Заснеженная,Хлопковое напыление на ветвях создает впечатление выпавшего рыхлого снега. Разная длина и уровень расположения веточек приближает Миранду к настоящей лесной красавице,56 000 ₽,230 см,134 см,1585 шт,-30%,56 000 ₽,80000,1,https://lady-elka.ru/d/img_1955.jpg | https://lady-elka.ru/d/img_1956.jpg | https://lady-elka.ru/d/img_1935.jpg | https://lady-elka.ru/d/photo_2025-09-05_21-13-00.jpg | https://lady-elka.ru/d/photo_2026-09-10_11-29-06.jpg | ,TRUE,,,,,,,,,
Миранда,Заснеженная,Хлопковое напыление на ветвях создает впечатление выпавшего рыхлого снега. Разная длина и уровень расположения веточек приближает Миранду к настоящей лесной красавице,64 000 ₽,250 см,140 см,1873 шт,-30%,64 000 ₽,91429,1,https://lady-elka.ru/d/img_1955.jpg | https://lady-elka.ru/d/img_1956.jpg | https://lady-elka.ru/d/img_1935.jpg | https://lady-elka.ru/d/photo_2025-09-05_21-13-00.jpg | https://lady-elka.ru/d/photo_2026-09-10_11-29-06.jpg | ,TRUE,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Миранда,Заснеженная с освещением,"Хлопковое напыление на ветвях создает впечатление выпавшего рыхлого снега. Разная длина и уровень расположения веточек приближает Миранду к настоящей лесной красавице. Дополнена встроенной гирляндой теплого свечения, без режимов мигания",42 944 ₽,185 см,110 см,955 шт,-30%,42 944 ₽,61349,1,https://lady-elka.ru/d/photo_2025-09-05_20-58-42.jpg | https://lady-elka.ru/d/img_1935.jpg | https://lady-elka.ru/d/photo_2025-09-05_21-13-00.jpg |  |  | ,TRUE,,,,,,,,,
Миранда,Заснеженная с освещением,"Хлопковое напыление на ветвях создает впечатление выпавшего рыхлого снега. Разная длина и уровень расположения веточек приближает Миранду к настоящей лесной красавице. Дополнена встроенной гирляндой теплого свечения, без режимов мигания",55 000 ₽,215 см,126 см,1315 шт,-30%,55 000 ₽,78572,1,https://lady-elka.ru/d/photo_2025-09-05_20-58-42.jpg | https://lady-elka.ru/d/img_1935.jpg | https://lady-elka.ru/d/photo_2025-09-05_21-13-00.jpg |  |  | ,TRUE,,,,,,,,,
Миранда,Заснеженная с освещением,"Хлопковое напыление на ветвях создает впечатление выпавшего рыхлого снега. Разная длина и уровень расположения веточек приближает Миранду к настоящей лесной красавице. Дополнена встроенной гирляндой теплого свечения, без режимов мигания",67 100 ₽,230 см,134 см,1585 шт,-30%,67 100 ₽,95858,1,https://lady-elka.ru/d/photo_2025-09-05_20-58-42.jpg | https://lady-elka.ru/d/img_1935.jpg | https://lady-elka.ru/d/photo_2025-09-05_21-13-00.jpg |  |  | ,TRUE,,,,,,,,,
Миранда,Заснеженная с освещением,"Хлопковое напыление на ветвях создает впечатление выпавшего рыхлого снега. Разная длина и уровень расположения веточек приближает Миранду к настоящей лесной красавице. Дополнена встроенной гирляндой теплого свечения, без режимов мигания",99 979 ₽,250 см,140 см,1873 шт,-30%,99 979 ₽,142828,1,https://lady-elka.ru/d/photo_2025-09-05_20-58-42.jpg | https://lady-elka.ru/d/img_1935.jpg | https://lady-elka.ru/d/photo_2025-09-05_21-13-00.jpg |  |  | ,TRUE,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Белла,Зелёная,"Елка состоит из семипалых веток, с хвоей насыщенного зеленого цвета. Неправильная форма создает сходство с натуральным деревом",14 450 ₽,150 см,116 см,461 шт,-30%,14 450 ₽,20643,2,https://lady-elka.ru/d/photo_2025-09-05_21-23-30.jpg | https://lady-elka.ru/d/photo_2025-09-05_21-22-08.jpg | https://lady-elka.ru/d/photo_2025-09-05_20-54-23.jpg | https://lady-elka.ru/d/photo_2025-09-05_20-54-18.jpg |  | ,TRUE,,,,,,,,,
Белла,Зелёная,"Елка состоит из семипалых веток, с хвоей насыщенного зеленого цвета. Неправильная форма создает сходство с натуральным деревом",22 000 ₽,185 см,132 см,869 шт,-30%,22 000 ₽,31429,2,https://lady-elka.ru/d/photo_2025-09-05_21-23-30.jpg | https://lady-elka.ru/d/photo_2025-09-05_21-22-08.jpg | https://lady-elka.ru/d/photo_2025-09-05_20-54-23.jpg | https://lady-elka.ru/d/photo_2025-09-05_20-54-18.jpg |  | ,TRUE,,,,,,,,,
Белла,Зелёная,"Елка состоит из семипалых веток, с хвоей насыщенного зеленого цвета. Неправильная форма создает сходство с натуральным деревом",34 000 ₽,215 см,148 см,1337 шт,-30%,34 000 ₽,48572,2,https://lady-elka.ru/d/photo_2025-09-05_21-23-30.jpg | https://lady-elka.ru/d/photo_2025-09-05_21-22-08.jpg | https://lady-elka.ru/d/photo_2025-09-05_20-54-23.jpg | https://lady-elka.ru/d/photo_2025-09-05_20-54-18.jpg |  | ,TRUE,,,,,,,,,
Белла,Зелёная,"Елка состоит из семипалых веток, с хвоей насыщенного зеленого цвета. Неправильная форма создает сходство с натуральным деревом",38 000 ₽,230 см,160 см,1733 шт,-30%,38 000 ₽,54286,2,https://lady-elka.ru/d/photo_2025-09-05_21-23-30.jpg | https://lady-elka.ru/d/photo_2025-09-05_21-22-08.jpg | https://lady-elka.ru/d/photo_2025-09-05_20-54-23.jpg | https://lady-elka.ru/d/photo_2025-09-05_20-54-18.jpg |  | ,TRUE,,,,,,,,,
Белла,Зелёная,"Елка состоит из семипалых веток, с хвоей насыщенного зеленого цвета. Неправильная форма создает сходство с натуральным деревом",45 000 ₽,250 см,172 см,2135 шт,-30%,45 000 ₽,64286,2,https://lady-elka.ru/d/photo_2025-09-05_21-23-30.jpg | https://lady-elka.ru/d/photo_2025-09-05_21-22-08.jpg | https://lady-elka.ru/d/photo_2025-09-05_20-54-23.jpg | https://lady-elka.ru/d/photo_2025-09-05_20-54-18.jpg |  | ,TRUE,,,,,,,,,
Белла,Зелёная,"Елка состоит из семипалых веток, с хвоей насыщенного зеленого цвета. Неправильная форма создает сходство с натуральным деревом",56 000 ₽,270 см,184 см,2561 шт,-30%,56 000 ₽,80000,2,https://lady-elka.ru/d/photo_2025-09-05_21-23-30.jpg | https://lady-elka.ru/d/photo_2025-09-05_21-22-08.jpg | https://lady-elka.ru/d/photo_2025-09-05_20-54-23.jpg | https://lady-elka.ru/d/photo_2025-09-05_20-54-18.jpg |  | ,TRUE,,,,,,,,,
Белла,Зелёная,"Елка состоит из семипалых веток, с хвоей насыщенного зеленого цвета. Неправильная форма создает сходство с натуральным деревом",78 000 ₽,300 см,204 см,3773 шт,-30%,78 000 ₽,111429,2,https://lady-elka.ru/d/photo_2025-09-05_21-23-30.jpg | https://lady-elka.ru/d/photo_2025-09-05_21-22-08.jpg | https://lady-elka.ru/d/photo_2025-09-05_20-54-23.jpg | https://lady-elka.ru/d/photo_2025-09-05_20-54-18.jpg |  | ,TRUE,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Белла,С освещением,"Елка состоит из семипалых веток, с хвоей насыщенного зеленого цвета. Неправильная форма создает сходство с натуральным деревом. Дополнена встроенной гирляндой теплого свечения, без режимов мигания",17 000 ₽,150 см,116 см,461 шт,-30%,17 000 ₽,24286,2,https://lady-elka.ru/d/photo_2025-09-05_21-24-45.jpg | https://lady-elka.ru/d/photo_2025-09-05_21-24-51.jpg | https://lady-elka.ru/d/photo_2025-09-05_20-54-23.jpg | https://lady-elka.ru/d/photo_2025-09-05_20-54-18.jpg |  | ,TRUE,,,,,,,,,
